"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ke'Shawn Vaughn","TB","15.0","63.7","0.5","2.3","16.5","0.1","0.0","12.7"
"D'Ernest Johnson","CLE","18.2","78.0","0.4","2.3","16.9","0.0","0.1","12.7"
"C.J. Ham","MIN","4.8","20.0","0.2","5.9","49.8","0.3","0.1","12.6"
"Gary Brightwell","NYG","20.0","88.0","0.0","3.0","22.0","0.0","0.0","12.5"
"Royce Freeman","DEN","14.3","59.9","0.4","3.2","20.0","0.1","0.0","12.4"
"Jordan Wilkins","IND","14.6","71.2","0.4","1.7","12.6","0.1","0.0","12.3"
"Devonta Freeman","NO","9.1","37.1","0.3","4.2","33.8","0.2","0.0","12.3"
"Ito Smith","ARI","9.5","39.9","0.3","4.7","30.3","0.2","0.0","12.2"
"D'Onta Foreman","ATL","16.8","70.6","0.4","1.4","10.0","0.0","0.0","11.4"
"J.J. Taylor","NE","13.9","59.1","0.4","1.9","14.9","0.0","0.0","10.9"
"Kene Nwangwu","MIN","16.3","65.8","0.2","2.5","18.2","0.0","0.1","10.8"
"Khalil Herbert","CHI","9.7","40.4","0.3","2.8","22.0","0.1","0.1","9.7"
"Tony Brooks-James","PIT","15.3","65.2","0.2","1.4","11.1","0.0","0.0","9.5"
"Alex Armah","NO","4.2","17.4","0.2","4.2","34.7","0.2","0.1","9.4"
"Reggie Bonnafon","CAR","14.3","52.3","0.1","2.9","21.5","0.0","0.0","9.4"
"Ty Montgomery","NO","14.5","51.0","0.0","3.4","23.9","0.0","0.0","9.2"
"Demetric Felton","CLE","9.3","39.5","0.4","1.9","15.2","0.1","0.0","9.1"
"Andrew Beck","DEN","4.9","21.3","0.2","4.1","28.1","0.2","0.0","9.0"
"Buddy Howell","HOU","4.0","17.1","0.2","4.1","29.2","0.2","0.0","8.6"
"Rico Dowdle","DAL","6.8","29.0","0.2","2.9","22.7","0.1","0.1","8.4"
"Nick Bellore","SEA","1.5","6.7","0.0","4.4","31.4","0.3","0.0","8.0"
"Gabe Nabers","LAC","3.3","14.4","0.1","3.2","25.0","0.2","0.1","7.4"
"Keith Smith","ATL","3.2","13.7","0.1","3.4","26.1","0.2","0.1","7.2"
"Andy Janovich","CLE","1.0","4.3","0.0","3.9","32.6","0.2","0.0","6.8"
"Alfred Morris","NYG","7.3","30.2","0.2","1.5","10.4","0.0","0.0","6.1"
"Kalen Ballage","PIT","7.0","27.6","0.2","1.8","11.7","0.0","0.1","6.1"
"Trenton Cannon","CAR","4.1","17.0","0.1","2.5","19.2","0.1","0.0","6.0"
"Ben Mason","BAL","0.0","0.0","0.0","3.4","27.7","0.2","0.0","5.9"
"Darwin Thompson","KC","6.6","26.1","0.1","1.8","13.8","0.0","0.0","5.7"
"Antonio Williams","BUF","8.0","34.1","0.3","0.4","3.2","0.0","0.0","5.4"
"Derek Watt","PIT","4.2","18.1","0.2","1.7","12.2","0.1","0.0","5.2"
"Alex Collins","SEA","4.8","20.3","0.2","1.4","10.6","0.1","0.1","5.1"
"Michael Burton","KC","3.3","14.0","0.1","1.8","14.8","0.1","0.0","4.9"
"Dwayne Washington","NO","4.7","20.0","0.1","1.5","11.6","0.0","0.0","4.7"
"Josh Adams","NYJ","5.1","22.1","0.2","0.9","6.1","0.0","0.0","4.3"
"Khari Blasingame","TEN","0.5","2.1","0.0","2.3","19.3","0.1","0.0","3.8"
"Devine Ozigbo","JAC","2.9","12.3","0.1","1.5","11.6","0.0","0.0","3.7"
"Elijhaa Penny","NYG","2.5","10.3","0.1","1.5","10.9","0.0","0.0","3.5"
"Corey Clement","NYG","4.2","17.7","0.2","0.5","3.6","0.0","0.0","3.4"
"Jakob Johnson","NE","0.0","0.0","0.0","2.2","19.0","0.1","0.0","3.3"
"Dexter Williams","GB","4.4","18.6","0.2","0.4","3.1","0.0","0.0","3.2"
"Dare Ogunbowale","JAC","2.1","8.9","0.0","1.4","9.4","0.0","0.0","2.5"
"Jonathan Williams","WAS","2.3","9.8","0.0","0.9","7.0","0.0","0.0","2.1"
"Patrick Laird","MIA","1.5","6.4","0.0","0.9","5.5","0.0","0.0","1.6"
"Taiwan Jones","BUF","1.1","4.7","0.0","0.9","7.0","0.0","0.0","1.6"
"C.J. Prosise","TB","0.9","3.6","0.0","1.0","7.0","0.0","0.0","1.5"
"Elijah McGuire","KC","0.9","3.5","0.0","0.9","7.2","0.0","0.0","1.5"
"Ryan Nall","CHI","0.9","3.9","0.0","0.9","6.3","0.0","0.0","1.4"
"Artavis Pierce","CHI","0.9","3.9","0.0","0.9","6.2","0.0","0.0","1.4"
"Jason Cabinda","DET","0.8","3.5","0.0","1.0","6.1","0.0","0.0","1.4"
