"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Javon Wims","CHI","9.6","122.4","0.5","0.0","0.0","0.0","0.1","20.0"
"Jalen Hurd","SF","7.1","90.3","0.6","4.7","28.8","0.2","0.1","19.7"
"Jeff Smith","NYJ","9.6","107.1","0.6","0.0","0.0","0.0","0.0","19.2"
"Tyler Johnson","TB","8.1","102.8","0.8","0.0","0.0","0.0","0.0","18.8"
"Noah Brown","DAL","8.6","106.1","0.6","0.0","0.0","0.0","0.1","18.6"
"Jamal Agnew","JAC","6.8","76.1","0.4","6.2","34.0","0.2","0.1","18.1"
"Chris Hogan","NO","7.5","99.9","0.7","0.0","0.0","0.0","0.1","17.8"
"Chad Beebe","MIN","7.9","96.1","0.7","0.0","0.0","0.0","0.1","17.3"
"Cameron Batson","TEN","7.2","79.8","0.6","2.5","14.9","0.1","0.1","17.1"
"Andre Roberts","HOU","7.8","101.5","0.5","0.0","0.0","0.0","0.0","17.1"
"Cam Sims","WAS","7.6","102.8","0.5","0.0","0.0","0.0","0.0","16.9"
"Mike Thomas","CIN","7.5","93.7","0.6","0.0","0.0","0.0","0.1","16.4"
"Alex Erickson","HOU","7.9","92.6","0.4","0.0","0.0","0.0","0.1","15.7"
"Frank Darby","ATL","7.3","92.4","0.5","0.0","0.0","0.0","0.0","15.6"
"Kalif Raymond","DET","7.5","101.1","0.3","0.0","0.0","0.0","0.1","15.4"
"Anthony Schwartz","CLE","6.8","82.4","0.6","0.0","0.0","0.0","0.0","14.9"
"Penny Hart","SEA","6.3","73.8","0.5","1.8","9.3","0.0","0.0","14.9"
"Kawaan Baker","NO","6.1","82.7","0.5","0.0","0.0","0.0","0.0","14.1"
"DaeSean Hamilton","DEN","7.3","75.2","0.5","0.0","0.0","0.0","0.0","14.1"
"Steven Sims Jr.","WAS","6.0","75.2","0.4","0.0","0.0","0.0","0.0","13.0"
"Nick Westbrook-Ikhine","TEN","5.3","70.3","0.4","0.0","0.0","0.0","0.0","12.2"
"Albert Wilson","MIA","5.7","59.2","0.4","1.6","8.8","0.0","0.0","12.0"
"Antonio Gandy-Golden","WAS","4.9","64.9","0.4","1.0","5.8","0.0","0.0","11.9"
"John Ross","NYG","4.3","56.6","0.5","0.7","3.9","0.0","0.1","11.3"
"Juwan Johnson","NO","5.9","78.1","0.1","0.0","0.0","0.0","0.0","11.2"
"Shi Smith","CAR","5.1","62.6","0.3","0.0","0.0","0.0","0.0","10.4"
"Tajae Sharpe","ATL","4.7","58.7","0.4","0.0","0.0","0.0","0.0","10.3"
"Lil'Jordan Humphrey","NO","4.2","54.7","0.3","0.0","0.0","0.0","0.0","9.6"
"Ihmir Smith-Marsette","MIN","4.6","60.7","0.1","0.0","0.0","0.0","0.0","9.1"
"Victor Bolden Jr.","DET","4.6","52.1","0.3","0.0","0.0","0.0","0.0","9.1"
"Diontae Spencer","DEN","3.6","40.1","0.2","2.4","13.6","0.1","0.0","9.0"
"Simi Fehoko","DAL","3.9","50.6","0.3","0.0","0.0","0.0","0.0","8.8"
"Cornell Powell","KC","3.8","48.5","0.3","0.0","0.0","0.0","0.0","8.7"
"Jaelon Darden","TB","4.2","48.0","0.3","0.0","0.0","0.0","0.0","8.6"
